filename,text,seconds
Cars0.png,KLG10A2555.,123.0
Cars1.png,PG MNV,133.85
Cars10.png,TN37CS,196.06
Cars100.png,AM 55550.,118.0
Cars101.png,HR 26 BC 5514.,48.54
Cars102.png,68:61:36.,53.71
Cars103.png,123456.,58.23
Cars104.png,NL60LXB.,64.97
Cars105.png,JPK 6546.,136.83
Cars106.png,CLEANED.,121.92
Cars107.png,MH 203020.,126.64
Cars108.png,MHO 1 AV8866.,69.98
Cars109.png,CZI7 KOD.,127.11
Cars11.png,WOR 516K.,43.73
Cars110.png,FI,42.31
Cars111.png,MH 20 EE 7598.,31.08
Cars112.png,SHAKNBK.,138.03
Cars113.png,MPEACHW.,600.72
Cars114.png,C.L,174.36
Cars115.png,M66 YOB.,91.74
Cars116.png,MK-35-32,42.07
Cars117.png,KAG4M53821.,80.99
Cars118.png,JA62UAR,92.54
Cars119.png,123456,78.14
Cars12.png,MH 12 BG 7237.,38.77
Cars120.png,B 2228HM.,83.48
Cars121.png,D333.,365.7
Cars122.png,MANISA.,147.03
Cars123.png,HR 26 BC 5554,99.63
Cars124.png,123456,136.2
Cars125.png,66887.,103.91
Cars126.png,KA 0,54.03
Cars127.png,SO5.,63.74
Cars128.png,OX65 AWD.,44.83
Cars129.png,OPEC 101L.,71.81
Cars13.png,BJR216.,57.7
Cars130.png,HR 26 BR 90 444,39.46
Cars131.png,C.L,43.16
Cars132.png,BM-41-667.,96.09
Cars133.png,PRINCIPATE DE MONACO.,54.56
Cars134.png,LI9 TLLC.,55.23
Cars135.png,EV 12332.,84.01
Cars136.png,15474.,56.03
Cars137.png,KF.,54.18
Cars138.png,TN,57.59
Cars139.png,LNU.,54.48
Cars14.png,ALR 486,29.35
Cars140.png,CH01AN0001,56.11
Cars141.png,251311.,84.19
Cars142.png,FI.,54.15
Cars143.png,BNZ017,55.41
Cars144.png,PEN5.,54.56
Cars145.png,CH01AN0001.,38.39
Cars146.png,5.,36.93
Cars147.png,KLG10A,55.95
Cars148.png,MH 01 BB 550.,87.91
Cars149.png,7VIG263,104.61
Cars15.png,TN21BY0166.,136.39
Cars150.png,DL8CX4850,46.69
Cars151.png,DL3CBD5092.,52.2
Cars152.png,DL49 AK49.,54.07
Cars153.png,MH 203020.,38.32
Cars154.png,KA-0,31.46
Cars155.png,MCB - 025.,25.13
Cars156.png,PRIVATE.,23.4
Cars157.png,PTB557K.,36.38
Cars158.png,695299.,35.53
Cars159.png,DL7C N 5617,25.44
Cars16.png,LXF 5555,45.22
Cars160.png,007PLATECOM.,35.91
Cars161.png,M66YOB.,23.55
Cars162.png,JH-0-MH-5992.,36.91
Cars163.png,L R33 TEE.,24.47
Cars164.png,GT,34.26
Cars165.png,TN 21 AJ 1153.,24.54
Cars166.png,I'm a car.,35.21
Cars167.png,15-LK-10898,24.37
Cars168.png,UP MAK 4P2P.,24.04
Cars169.png,PRIVATE.,23.3
Cars17.png,YSX 213.,23.89
Cars170.png,963.,52.06
Cars171.png,BJR216.,24.75
Cars172.png,UK C 09.,24.36
Cars173.png,WMY-9051.,38.8
Cars174.png,GV15.,24.9
Cars175.png,DL 1N 4268.,38.88
Cars176.png,EVO9FTW.,32.78
Cars177.png,GOOD.,19.53
Cars178.png,522 922,36.37
Cars179.png,4SZW590.,36.87
Cars18.png,M666 YOB.,24.65
Cars180.png,MPEACHW.,35.75
Cars181.png,JHII HAD.,23.55
Cars182.png,VI2LAF,12.43
Cars183.png,BRIT 0001.,11.65
Cars184.png,SWIFT,22.4
Cars185.png,Z B064 安防.,24.81
Cars186.png,26 SPF-4,23.64
Cars187.png,ALR 486.,23.33
Cars188.png,1234.,48.59
Cars189.png,CH 01 AN 0001.,25.17
Cars19.png,AFR-2011.,36.79
